Date : 2023-11-01 19:10:44
Directory : /home/cjfritz/dev/freelance-work/full-blast-gear
Total : 96 files,  4941 codes, 70 comments, 598 blanks, all 5609 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript React   |         59 |      3,272 |         19 |        342 |      3,633 |
| TypeScript         |         28 |      1,513 |         46 |        227 |      1,786 |
| JSON               |          1 |         44 |          0 |          1 |         45 |
| CSS                |          1 |         39 |          0 |          8 |         47 |
| JSON with Comments |          2 |         28 |          2 |          2 |         32 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         20 |          3 |          4 |         27 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         96 |      4,941 |         70 |        598 |      5,609 |
| . (Files)                                                                                             |          8 |        130 |          5 |         24 |        159 |
| @types                                                                                                |          5 |        417 |         43 |         59 |        519 |
| app                                                                                                   |         35 |        856 |          3 |        164 |      1,023 |
| app (Files)                                                                                           |          4 |        164 |          3 |         21 |        188 |
| app/about                                                                                             |          5 |         63 |          0 |         15 |         78 |
| app/about (Files)                                                                                     |          3 |         40 |          0 |          9 |         49 |
| app/about/[subpage]                                                                                   |          2 |         23 |          0 |          6 |         29 |
| app/api                                                                                               |         12 |        248 |          0 |         67 |        315 |
| app/api (Files)                                                                                       |          1 |        122 |          0 |         28 |        150 |
| app/api/auth                                                                                          |          1 |         15 |          0 |          6 |         21 |
| app/api/auth/recaptcha                                                                                |          1 |         15 |          0 |          6 |         21 |
| app/api/checkout                                                                                      |          3 |         48 |          0 |         13 |         61 |
| app/api/checkout (Files)                                                                              |          1 |         14 |          0 |          5 |         19 |
| app/api/checkout/add-items                                                                            |          1 |         17 |          0 |          4 |         21 |
| app/api/checkout/remove-items                                                                         |          1 |         17 |          0 |          4 |         21 |
| app/api/content                                                                                       |          2 |         12 |          0 |          6 |         18 |
| app/api/content/about                                                                                 |          1 |          6 |          0 |          3 |          9 |
| app/api/content/home                                                                                  |          1 |          6 |          0 |          3 |          9 |
| app/api/products                                                                                      |          4 |         39 |          0 |         11 |         50 |
| app/api/products (Files)                                                                              |          1 |          8 |          0 |          3 |         11 |
| app/api/products/[handle]                                                                             |          1 |         11 |          0 |          3 |         14 |
| app/api/products/search                                                                               |          1 |         10 |          0 |          2 |         12 |
| app/api/products/tags                                                                                 |          1 |         10 |          0 |          3 |         13 |
| app/api/products/tags/[tag]                                                                           |          1 |         10 |          0 |          3 |         13 |
| app/api/reviews                                                                                       |          1 |         12 |          0 |          3 |         15 |
| app/blogs                                                                                             |          4 |         90 |          0 |         16 |        106 |
| app/blogs (Files)                                                                                     |          3 |         50 |          0 |         12 |         62 |
| app/blogs/[handle]                                                                                    |          1 |         40 |          0 |          4 |         44 |
| app/company                                                                                           |          1 |          8 |          0 |          3 |         11 |
| app/contact                                                                                           |          4 |         62 |          0 |         14 |         76 |
| app/shop                                                                                              |          5 |        221 |          0 |         28 |        249 |
| app/shop (Files)                                                                                      |          3 |        108 |          0 |         15 |        123 |
| app/shop/[handle]                                                                                     |          2 |        113 |          0 |         13 |        126 |
| components                                                                                            |         34 |      2,515 |         16 |        214 |      2,745 |
| components/UI                                                                                         |          3 |        132 |          0 |         23 |        155 |
| components/actions                                                                                    |         10 |        622 |         10 |         71 |        703 |
| components/actions (Files)                                                                            |          8 |        542 |          9 |         61 |        612 |
| components/actions/product-menu                                                                       |          2 |         80 |          1 |         10 |         91 |
| components/layout                                                                                     |         21 |      1,761 |          6 |        120 |      1,887 |
| components/layout (Files)                                                                             |         15 |      1,463 |          6 |         88 |      1,557 |
| components/layout/footer                                                                              |          4 |        109 |          0 |         19 |        128 |
